datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2018-09-28,1428769.0,1313550.2,1172611.7,1172611.7,6762.842604166667,6762.842604166667
2018-09-29,1452001.5,1339626.5,1225112.5,1225112.5,6671.305625,6671.305625
2018-09-30,1226116.2,1428146.2,1087414.64,1087414.66,4279.357395833334,4279.357395833334
2018-10-01,1406723.2,1094347.6,1028920.07,1028920.07,7644.164270833334,7644.164270833334
2018-10-02,1251055.9,1288794.1,1098850.6,1098850.59,5194.222395833333,5194.222395833333
2018-10-03,1329469.3,1152447.4,1075683.34,1075683.33,7123.9490625,7123.9490625
2018-10-04,1345745.6,1163867.9,1084637.3,1084637.3,7496.125729166666,7496.125729166666
2018-10-05,1218209.9,1116694.8,1005949.08,1005949.08,7848.503020833334,7848.503020833334
2018-10-06,1185189.8,1039403.3,939909.04,939909.04,8062.413541666666,8062.413541666666
2018-10-07,1192581.7,1105150.2,897859.75,897859.74,5914.8220833333335,5914.8220833333335
2018-10-08,1328871.8,1034564.3,985953.85,985953.85,8566.920833333334,8566.920833333334
2018-10-09,1408649.1,965025.8,924283.63,924283.63,8949.374895833333,8949.374895833333
2018-10-10,1154121.9,1177791.2,980751.36,980751.35,5261.712083333333,5261.712083333333
2018-10-11,1354229.8,1102119.5,997921.85,997921.86,7267.739791666667,7267.739791666667
2018-10-12,1180308.3,1142076.0,955697.91,955697.87,5520.406770833334,5520.406770833334
2018-10-13,1123860.0,1111180.7,929955.47,846170.02,5240.078645833333,5240.078645833333
2018-10-14,1131843.2,1153662.6,950377.8,719154.14,4888.861354166666,4888.861354166666
2018-10-15,1155782.3,989811.0,853273.1,795005.58,5929.2969791666665,5929.2969791666665
2018-10-16,1045520.8,979807.9,825033.6900000001,780084.19,5464.018020833333,5464.018020833333
2018-10-17,1043803.7,1035711.6,827940.7,750179.87,5353.660104166666,5353.660104166666
2018-10-18,907938.5,1205996.7,762181.03,733603.31,4247.163125,4247.163125
2018-10-19,863081.7,1139570.1,715023.26,704429.05,4150.332604166667,4150.332604166667
2018-10-20,854242.9,989805.1,699748.87,678010.18,4290.085625000001,4290.085625000001
2018-10-21,815003.7,1054997.6,663182.43,658485.14,4040.0282291666667,4040.0282291666667
2018-10-22,1090153.2,921138.6,814353.27,813623.94,6193.081875,6193.081875
2018-10-23,1148948.9,933671.9,862176.04,862176.03,6921.8751041666665,6921.8751041666665
2018-10-24,992731.6,1042936.8,812278.05,812278.06,5082.818229166666,5082.818229166666
2018-10-25,1109667.2,948524.2,790049.02,790067.32,6238.769583333334,6238.769583333334
2018-10-26,919448.0,963732.4,709865.75,709865.75,5296.650833333333,5296.650833333333
2018-10-27,979568.4,948303.3,737225.2,737225.2,5157.8090624999995,5157.8090624999995
2018-10-28,857243.2,1041131.7,698096.32,627312.11,4306.099375,4306.099375
2018-10-29,972205.8,906969.0,721703.2,684068.6900000001,5859.108020833333,5859.108020833333
2018-10-30,863162.1,925263.3,667328.82,659287.13,4949.506354166667,4949.506354166667
2018-10-31,943813.2,889990.9,683235.18,683235.17,5617.6875,5617.6875
2018-11-01,819121.9,947969.1,654924.08,651437.09,4759.811041666667,4759.811041666667
2018-11-02,906935.2,918923.7,690692.86,690692.86,5106.514479166667,5106.514479166667
2018-11-03,891751.8,957071.3,698328.49,698328.51,4917.3771875,4917.3771875
2018-11-04,727500.6,965680.8,571594.69,571594.68,4219.278229166667,4219.278229166667
2018-11-05,806197.7,861244.7,633275.17,633275.18,4560.089479166667,4560.089479166667
2018-11-06,692467.6,933076.3,532778.71,532778.67,3922.9066666666663,3922.9066666666663
2018-11-07,491580.6,1118035.9,425585.21,425585.19,3024.7557291666667,3024.7557291666667
2018-11-08,456545.2,1255435.9,408776.91,405634.65,2727.498958333333,2727.498958333333
